VM 2026 – konkurranse,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
2026-06-17,Group L,Ghana,Panama,Toronto Stadium,1,1,U
2026-06-17,Group L,England,Croatia,Dallas Stadium,2,1,H
2026-06-23,Group L,England,Ghana,Boston Stadium,2,1,H
2026-06-23,Group L,Panama,Croatia,Toronto Stadium,0,2,B
2026-06-27,Group L,Panama,England,New York New Jersey Stadium,1,3,B
2026-06-27,Group L,Croatia,Ghana,Philadelphia Stadium,3,2,H
,,,,,,,
,,,,,,,
32-delsfinale / Round of 32-lag (10p for kvart rette lag),,,,,,,
1,Belgium,,,,,,
2,France,,,,,,
3,Norway,,,,,,
4,England,,,,,,
5,Germany,,,,,,
6,Switzerland,,,,,,
7,Netherlands,,,,,,
8,Mexico,,,,,,
9,Canada,,,,,,
10,Brazil,,,,,,
11,Morocco,,,,,,
12,Canada,,,,,,
13,Australia,,,,,,
14,Ecuador,,,,,,
15,Japan,,,,,,
16,Egypt,,,,,,
17,Spain,,,,,,
18,Uruguay,,,,,,
19,Argentina,,,,,,
20,Austria,,,,,,
21,Portugal,,,,,,
22,Colombia,,,,,,
23,Croatia,,,,,,
24,Senegal,,,,,,
25,Egypt,,,,,,
26,Côte d'Ivoire,,,,,,
27,Sweden,,,,,,
28,USA,,,,,,
29,Paraguay,,,,,,
30,Tunisia,,,,,,
31,IR Iran,,,,,,
32,Iraq,,,,,,
,,,,,,,
Åttedelsfinalistar / Round of 16-lag (15p for kvart rette lag),,,,,,,
1,Norway,,,,,,
2,France,,,,,,
3,Spain,,,,,,
4,Portugal,,,,,,
5,Brazil,,,,,,
6,Argentina,,,,,,
7,Germany,,,,,,
8,Belgium,,,,,,
9,Morocco,,,,,,
10,Uruguay,,,,,,
11,USA,,,,,,
12,England,,,,,,
13,Switzerland,,,,,,
14,Senegal,,,,,,
15,Côte d'Ivoire,,,,,,
16,Japan,,,,,,
,,,,,,,
Kvartfinalistar (20p for kvart rette lag),,,,,,,
1,France,,,,,,
2,spain,,,,,,
3,England,,,,,,
4,Morocco,,,,,,
5,Germany,,,,,,
6,Brazil,,,,,,
7,Côte d'Ivoire,,,,,,
8,Uruguay,,,,,,
,,,,,,,
Semifinalistar (25p for kvart rette lag),,,,,,,
1,France,,,,,,
2,Brazil,,,,,,
3,Germany,,,,,,
4,Uruguay,,,,,,
,,,,,,,
Finalistar (40p for kvart rette lag),,,,,,,
1,France,,,,,,
2,Brazil,,,,,,
,,,,,,,
Vinnar (50p for kvart rette lag),,,,,,,
1,France,,,,,,
,,,,,,,
,,,,,,,
Bonusspørsmål,,,,,,,
Spørsmål,Tips,Poengregel,,,,,
TOPPSCORAR,Mbappe. 9 goals,8p per mål. Straffekonk tel ikkje,,,,,
Mestskorande lag,France. 27 goals,5p per mål. Straffekonk tel ikkje,,,,,
Mest innslupne mål / verste forsvar,uruguay,5p per mål. Straffekonk tel ikkje,,,,,
Kva spelar får det første raude kortet i VM?,,40p rett spelar,,,,,
Kva lag får flest raude kort?,senegal,10p for kvart kort,,,,,
