VM 2026 – konkurranse,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
2026-06-17,Group L,Ghana,Panama,Toronto Stadium,0,3,B
2026-06-17,Group L,England,Croatia,Dallas Stadium,2,2,U
2026-06-23,Group L,England,Ghana,Boston Stadium,2,1,H
2026-06-23,Group L,Panama,Croatia,Toronto Stadium,0,2,B
2026-06-27,Group L,Panama,England,New York New Jersey Stadium,1,3,B
2026-06-27,Group L,Croatia,Ghana,Philadelphia Stadium,1,1,U
,,,,,,,
,,,,,,,
32-delsfinale / Round of 32-lag (10p for kvart rette lag),,,,,,,
1,France,,,,,,
2,Norway,,,,,,
3,Senegal,,,,,,
4,Argentina,,,,,,
5,Türkiye,,,,,,
6,Mexico,,,,,,
7,Korea Republic,,,,,,
8,Switzerland,,,,,,
9,Canada,,,,,,
10,Brazil,,,,,,
11,Morocco,,,,,,
12,Scotland,,,,,,
13,USA,,,,,,
14,Germany,,,,,,
15,Côte d'Ivoire,,,,,,
16,Ecuador,,,,,,
17,Japan,,,,,,
18,Belgium,,,,,,
19,IR Iran,,,,,,
20,Spain,,,,,,
21,Uruguay,,,,,,
22,Portugal,,,,,,
23,Colombia,,,,,,
24,England,,,,,,
25,Croatia,,,,,,
26,Ghana,,,,,,
27,Saudi Arabia,,,,,,
28,Czechia,,,,,,
29,Sweden,,,,,,
30,Bosnia and Herzegovina,,,,,,
31,Ghana,,,,,,
32,Algeria,,,,,,
,,,,,,,
Åttedelsfinalistar / Round of 16-lag (15p for kvart rette lag),,,,,,,
1,Netherlands,,,,,,
2,France,,,,,,
3,Spain,,,,,,
4,Brazil,,,,,,
5,Argentina,,,,,,
6,Germany,,,,,,
7,Côte d'Ivoire,,,,,,
8,Colombia,,,,,,
9,Ecuador,,,,,,
10,England,,,,,,
11,Portugal,,,,,,
12,Morocco,,,,,,
13,Senegal,,,,,,
14,Norway,,,,,,
15,Ghana,,,,,,
16,Algeria,,,,,,
,,,,,,,
Kvartfinalistar (20p for kvart rette lag),,,,,,,
1,France,,,,,,
2,Spain,,,,,,
3,England,,,,,,
4,Ecuador,,,,,,
5,Morocco,,,,,,
6,Netherlands,,,,,,
7,Brazil,,,,,,
8,Portugal,,,,,,
,,,,,,,
Semifinalistar (25p for kvart rette lag),,,,,,,
1,Portugal,,,,,,
2,France,,,,,,
3,Spain,,,,,,
4,Netherlands,,,,,,
,,,,,,,
Finalistar (40p for kvart rette lag),,,,,,,
1,Netherlands,,,,,,
2,Spain,,,,,,
,,,,,,,
Vinnar (50p for kvart rette lag),,,,,,,
1,Spain,,,,,,
,,,,,,,
,,,,,,,
Bonusspørsmål,,,,,,,
Spørsmål,Tips,Poengregel,,,,,
TOPPSCORAR,kane ,8p per mål. Straffekonk tel ikkje,,,,,
Mestskorande lag,spania,5p per mål. Straffekonk tel ikkje,,,,,
Mest innslupne mål / verste forsvar,Haiti,5p per mål. Straffekonk tel ikkje,,,,,
Kva spelar får det første raude kortet i VM?,Sithole,40p rett spelar,,,,,
Kva lag får flest raude kort?,Uruguay,10p for kvart kort,,,,,
