VM 2026 – konkurranse,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
2026-06-17,Group L,Ghana,Panama,Toronto Stadium,2,0,H
2026-06-17,Group L,England,Croatia,Dallas Stadium,1,1,U
2026-06-23,Group L,England,Ghana,Boston Stadium,0,0,U
2026-06-23,Group L,Panama,Croatia,Toronto Stadium,0,2,B
2026-06-27,Group L,Panama,England,New York New Jersey Stadium,0,3,B
2026-06-27,Group L,Croatia,Ghana,Philadelphia Stadium,1,1,U
,,,,,,,
,,,,,,,
32-delsfinale / Round of 32-lag (10p for kvart rette lag),,,,,,,
1,Argentina,,,,,,
2,Austria,,,,,,
3,Belgium,,,,,,
4,Brazil,,,,,,
5,Croatia,,,,,,
6,Côte d'Ivoire,,,,,,
7,Ecuador,,,,,,
8,England,,,,,,
9,France,,,,,,
10,Germany,,,,,,
11,Ghana,,,,,,
12,Japan,,,,,,
13,Morocco,,,,,,
14,Netherlands,,,,,,
15,Portugal,,,,,,
16,Scotland,,,,,,
17,Spain,,,,,,
18,Switzerland,,,,,,
19,Türkiye,,,,,,
20,USA,,,,,,
21,Uruguay,,,,,,
22,Norway,,,,,,
23,Senegal,,,,,,
24,Canada,,,,,,
25,Colombia,,,,,,
26,Mexico,,,,,,
27,Czechia,,,,,,
28,Algeria,,,,,,
29,Congo DR,,,,,,
30,Korea Republic,,,,,,
31,Paraguay,,,,,,
32,Egypt,,,,,,
,,,,,,,
Åttedelsfinalistar / Round of 16-lag (15p for kvart rette lag),,,,,,,
1,Argentina,,,,,,
2,Brazil,,,,,,
3,England,,,,,,
4,France,,,,,,
5,Germany,,,,,,
6,Portugal,,,,,,
7,USA,,,,,,
8,Ghana,,,,,,
9,Belgium,,,,,,
10,Ecuador,,,,,,
11,Japan,,,,,,
12,Morocco,,,,,,
13,Côte d'Ivoire,,,,,,
14,Türkiye,,,,,,
15,Switzerland,,,,,,
16,Croatia,,,,,,
,,,,,,,
Kvartfinalistar (20p for kvart rette lag),,,,,,,
1,Argentina,,,,,,
2,Brazil,,,,,,
3,Ecuador,,,,,,
4,England,,,,,,
5,France,,,,,,
6,Germany,,,,,,
7,Morocco,,,,,,
8,Portugal,,,,,,
,,,,,,,
Semifinalistar (25p for kvart rette lag),,,,,,,
1,Argentina,,,,,,
2,Brazil,,,,,,
3,France,,,,,,
4,Germany,,,,,,
,,,,,,,
Finalistar (40p for kvart rette lag),,,,,,,
1,Argentina,,,,,,
2,Germany,,,,,,
,,,,,,,
Vinnar (50p for kvart rette lag),,,,,,,
1,Germany,,,,,,
,,,,,,,
,,,,,,,
Bonusspørsmål,,,,,,,
Spørsmål,Tips,Poengregel,,,,,
TOPPSCORAR,Mbappe,8p per mål. Straffekonk tel ikkje,,,,,
Mestskorande lag,Portugal,5p per mål. Straffekonk tel ikkje,,,,,
Mest innslupne mål / verste forsvar,Haiti,5p per mål. Straffekonk tel ikkje,,,,,
Kva spelar får det første raude kortet i VM?,-,40p rett spelar,,,,,
Kva lag får flest raude kort?,Irak,10p for kvart kort,,,,,
